[Category,sub-cat,keyword,weight]
[Geography,City,嘉義,1]
[Geography,City,台南,1]
[Geography,City,高雄,1]
[Geography,City,屏東,1]

[Geography,Region,安平,0.9]
[Geography,Region,七股,0.9]
[Geography,Region,中西區,0.9]
[Geography,Region,旗津,0.9]
[Geography,Region,恆春,0.9]
[Geography,Region,阿里山,0.9]
[Geography,Region,墾丁,0.9]
[Geography,Region,青山,0.9]

[Attractions,historical attractions,赤崁樓,0.8]
[Attractions,historical attractions,安平古堡,0.8]
[Attractions,historical attractions,億載金城,0.8]
[Attractions,historical attractions,延平郡王祠,0.8]
[Attractions,historical attractions,孔廟,0.8]
[Attractions,historical attractions,神農街,0.8]

[Attractions,Cultural and creative attractions,奇美博物館,0.8]
[Attractions,Cultural and creative attractions,十鼓仁糖文創園區,0.8]
[Attractions,Cultural and creative attractions,台南美術館,0.8]
[Attractions,Cultural and creative attractions,藍晒圖文創園區,0.8]
[Attractions,Cultural and creative attractions,十鼓仁糖文創園區,0.8]
[Attractions,Cultural and creative attractions,駁二藝術特區,0.8]
[Attractions,Cultural and creative attractions,高雄流行音樂中心,0.8]
[Attractions,Cultural and creative attractions,義大,0.8]
[Attractions,Cultural and creative attractions,草衙道,0.8]
[Attractions,Cultural and creative attractions,國立海洋生物博物館,0.8]
[Attractions,Cultural and creative attractions,老街,0.8]

[Attractions,Natural landscape,四草,0.8]
[Attractions,Natural landscape,鹽田,0.8]
[Attractions,Natural landscape,西子灣,0.8]
[Attractions,Natural landscape,柴山漁港,0.8]
[Attractions,Natural landscape,蓮池潭,0.8]
[Attractions,Natural landscape,國家公園,0.8]
[Attractions,Natural landscape,鵝鑾鼻,0.8]
[Attractions,Natural landscape,白沙灣,0.8]
[Attractions,Natural landscape,南灣,0.8]
[Attractions,Natural landscape,龍磐公園,0.8]
[Attractions,Natural landscape,日出,0.8]
[Attractions,Natural landscape,雲海,0.8]
[Attractions,Natural landscape,火車,0.8]
[Attractions,Natural landscape,北回歸線,0.8]

[Attractions,Water Activities,潛水,0.8]
[Attractions,Water Activities,浮潛,0.8]
[Attractions,Water Activities,SUP,0.8]
[Attractions,Water Activities,沙灘,0.8]
[Attractions,Water Activities,海邊,0.8]

[Travel type,Slow life/Artsy vibes,散步,0.6]
[Travel type,Slow life/Artsy vibes,老屋,0.6]
[Travel type,Slow life/Artsy vibes,巷弄,0.6]
[Travel type,Slow life/Artsy vibes,文青,0.6]
[Travel type,Slow life/Artsy vibes,復古,0.6]
[Travel type,Slow life/Artsy vibes,咖啡廳,0.6]

[Travel type,IG spots,打卡,0.6]
[Travel type,IG spots,IG景點,0.6]
[Travel type,IG spots,拍照,0.6]
[Travel type,IG spots,夜景,0.6]
[Travel type,IG spots,無邊際,0.6]
[Travel type,IG spots,海景咖啡,0.6]
[Travel type,IG spots,網紅店,0.6]

[Travel type,Outdoor activities,登山,0.6]
[Travel type,Outdoor activities,騎車,0.6]
[Travel type,Outdoor activities,露營,0.6]
[Travel type,Outdoor activities,步道,0.6]
[Travel type,Outdoor activities,戶外,0.6]
[Travel type,Outdoor activities,秘境,0.6]
[Travel type,Outdoor activities,登山,0.6]
[Travel type,Outdoor activities,登山,0.6]

[Travel type,Family-friendly,親子友善,0.6]
[Travel type,Family-friendly,餵動物,0.6]
[Travel type,Family-friendly,動物園,0.6]
[Travel type,Family-friendly,親子,0.6]
[Travel type,Family-friendly,溜滑梯,0.6]
[Travel type,Family-friendly,水族館,0.6]
[Travel type,Family-friendly,兒童館,0.6]

[Travel type,Couple trip,約會,0.6]
[Travel type,Couple trip,浪漫,0.6]
[Travel type,Couple trip,看海,0.6]
[Travel type,Couple trip,日落,0.6]
[Travel type,Couple trip,看星星,0.6]
[Travel type,Couple trip,晚餐,0.6]

[Travel type,Cultural exploration,在地,0.6]
[Travel type,Cultural exploration,導覽,0.6]
[Travel type,Cultural exploration,眾人推薦,0.6]
[Travel type,Cultural exploration,老字號,0.6]
[Travel type,Cultural exploration,市場,0.6]
